[2026-07-04T11:03:20.331Z] GET http://localhost:8741/ → 200 (9ms, 59583B)
[2026-07-04T11:03:20.349Z] GET http://localhost:8741/images/hero-atelier.webp → 200 (7ms, 80474B)
[2026-07-04T11:03:20.349Z] GET http://localhost:8741/assets/fonts/bricolage-grotesque-latin.woff2 → 200 (7ms, 76868B)
[2026-07-04T11:03:20.349Z] GET http://localhost:8741/assets/fonts/inter-latin.woff2 → 200 (7ms, 48256B)
[2026-07-04T11:03:20.349Z] GET http://localhost:8741/css/base.css → 200 (4ms, 13579B)
[2026-07-04T11:03:20.349Z] GET http://localhost:8741/css/style.css → 200 (5ms, 77973B)
[2026-07-04T11:03:20.349Z] GET http://localhost:8741/images/logo-markingstudio-dark.png → 200 (6ms, 74199B)
[2026-07-04T11:03:20.349Z] GET http://localhost:8741/js/main.js → 200 (7ms, 24363B)
[2026-07-04T11:03:20.480Z] GET http://localhost:8741/images/atelier-bureau.webp → 200 (?ms, 98986B)
[2026-07-04T11:03:20.480Z] GET http://localhost:8741/images/trait-coral.webp → 200 (1ms, 49574B)
[2026-07-04T11:03:20.480Z] GET http://localhost:8741/images/about-atelier.webp → 200 (1ms, 131786B)
[2026-07-04T11:03:20.480Z] GET http://localhost:8741/assets/fonts/inter-latin-ext.woff2 → 200 (25ms, 85068B)
[2026-07-04T11:05:35.599Z] GET http://localhost:8741/ → 200 (30ms, 59600B)
[2026-07-04T11:05:35.664Z] GET http://localhost:8741/images/hero-atelier.webp → 200 (?ms, -189B)
[2026-07-04T11:05:35.665Z] GET http://localhost:8741/assets/fonts/bricolage-grotesque-latin.woff2 → 200 (?ms, -189B)
[2026-07-04T11:05:35.665Z] GET http://localhost:8741/assets/fonts/inter-latin.woff2 → 200 (?ms, -189B)
[2026-07-04T11:05:35.666Z] GET http://localhost:8741/css/base.css → 200 (?ms, -187B)
[2026-07-04T11:05:35.666Z] GET http://localhost:8741/css/style.css → 304 (1ms, ?B)
[2026-07-04T11:05:35.666Z] GET http://localhost:8741/images/logo-markingstudio-dark.png → 200 (1ms, -188B)
[2026-07-04T11:05:35.667Z] GET http://localhost:8741/js/main.js → 200 (?ms, 24826B)
[2026-07-04T11:05:35.731Z] GET http://localhost:8741/assets/fonts/inter-latin-ext.woff2 → 200 (1ms, -189B)
[2026-07-04T11:05:35.732Z] GET http://localhost:8741/images/atelier-bureau.webp → 200 (?ms, -189B)
[2026-07-04T11:05:35.732Z] GET http://localhost:8741/images/trait-coral.webp → 200 (?ms, -189B)
[2026-07-04T11:05:35.732Z] GET http://localhost:8741/images/about-atelier.webp → 200 (?ms, -190B)
[2026-07-04T11:06:23.641Z] GET http://localhost:8741/js/main.js → 200 (3ms, 24826B)
[2026-07-04T11:07:19.034Z] GET http://localhost:8741/ → 200 (2ms, ?B)
[2026-07-04T11:07:19.044Z] GET http://localhost:8741/images/hero-atelier.webp → 200 (?ms, -189B)
[2026-07-04T11:07:19.044Z] GET http://localhost:8741/assets/fonts/bricolage-grotesque-latin.woff2 → 200 (?ms, -189B)
[2026-07-04T11:07:19.044Z] GET http://localhost:8741/assets/fonts/inter-latin.woff2 → 200 (1ms, -189B)
[2026-07-04T11:07:19.045Z] GET http://localhost:8741/css/base.css → 200 (?ms, -187B)
[2026-07-04T11:07:19.046Z] GET http://localhost:8741/css/style.css → 304 (?ms, ?B)
[2026-07-04T11:07:19.046Z] GET http://localhost:8741/images/logo-markingstudio-dark.png → 200 (?ms, -188B)
[2026-07-04T11:07:19.046Z] GET http://localhost:8741/js/main.js → 200 (?ms, ?B)
[2026-07-04T11:07:19.071Z] GET http://localhost:8741/assets/fonts/inter-latin-ext.woff2 → 200 (?ms, -189B)
[2026-07-04T11:07:19.071Z] GET http://localhost:8741/images/atelier-bureau.webp → 200 (1ms, -189B)
